WRN 2026-09-05T07:40:37.884 ui.25218   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T07:40:37.884 ui.25218   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T07:40:37.884 ui.25218   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T07:40:37.884 ui.25218   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T07:40:37.884 ui.25218   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T07:40:56.583 ui.25275   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T07:40:56.583 ui.25275   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T07:40:56.583 ui.25275   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T07:40:56.583 ui.25275   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T07:40:56.583 ui.25275   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T07:41:04.844 ui.25282   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T07:41:04.844 ui.25282   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T07:41:04.844 ui.25282   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T07:41:04.844 ui.25282   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T07:41:04.844 ui.25282   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T07:41:30.126 ui.25411   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T07:41:30.126 ui.25411   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T07:41:30.126 ui.25411   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T07:41:30.126 ui.25411   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T07:41:30.126 ui.25411   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T07:41:46.757 ui.25600   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T07:41:46.757 ui.25600   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T07:41:46.757 ui.25600   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T07:41:46.757 ui.25600   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T07:41:46.757 ui.25600   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T07:42:48.309 ui.26108   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T07:42:48.309 ui.26108   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T07:42:48.309 ui.26108   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T07:42:48.309 ui.26108   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T07:42:48.309 ui.26108   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T07:42:56.648 ui.26124   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T07:42:56.648 ui.26124   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T07:42:56.648 ui.26124   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T07:42:56.648 ui.26124   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T07:42:56.648 ui.26124   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T08:26:47.466 ui.29351   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T08:26:47.466 ui.29351   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T08:26:47.466 ui.29351   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T08:26:47.466 ui.29351   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T08:26:47.466 ui.29351   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T08:33:02.861 ui.30920   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T08:33:02.861 ui.30920   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T08:33:02.861 ui.30920   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T08:33:02.861 ui.30920   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T08:33:02.861 ui.30920   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T08:51:28.313 ui.36316   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T08:51:28.313 ui.36316   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T08:51:28.313 ui.36316   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T08:51:28.313 ui.36316   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T08:51:28.313 ui.36316   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T09:09:51.199 ui.39709   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T09:09:51.199 ui.39709   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T09:09:51.199 ui.39709   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T09:09:51.199 ui.39709   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T09:09:51.199 ui.39709   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T09:10:17.026 ui.39761   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T09:10:17.026 ui.39761   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T09:10:17.026 ui.39761   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T09:10:17.026 ui.39761   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T09:10:17.026 ui.39761   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T09:10:30.407 ui.39776   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T09:10:30.407 ui.39776   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T09:10:30.407 ui.39776   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T09:10:30.407 ui.39776   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T09:10:30.407 ui.39776   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T09:20:21.627 ui.47962   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T09:20:21.627 ui.47962   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T09:20:21.627 ui.47962   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T09:20:21.627 ui.47962   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T09:20:21.627 ui.47962   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T09:28:16.912 ui.61859   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T09:28:16.912 ui.61859   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T09:28:16.912 ui.61859   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T09:28:16.912 ui.61859   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T09:28:16.912 ui.61859   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T09:40:03.958 ui.4326    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T09:40:03.960 ui.4326    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T09:40:03.960 ui.4326    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
